City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Dashitou,CN,2022-04-11 01:15:17,43.3067,128.5114,62.65,30,100,8.75
125,Polunochnoye,RU,2022-04-11 01:15:18,60.8697,60.4153,33.17,99,100,5.14
126,Akyab,MM,2022-04-11 01:15:18,20.15,92.9,81.39,76,47,4.25
127,Katsuura,JP,2022-04-11 01:14:37,35.1333,140.3,65.59,78,100,13.13
128,Sitka,US,2022-04-11 01:13:39,57.0531,-135.33,51.69,28,20,6.91
129,Qaanaaq,GL,2022-04-11 01:15:19,77.484,-69.3632,-7.73,72,63,7.18
130,Ust-Kut,RU,2022-04-11 01:15:19,56.7938,105.7672,30.83,83,100,4.54
131,Pangnirtung,CA,2022-04-11 01:10:50,66.1451,-65.7125,20.25,94,100,3.58
132,Muzaffarabad,PK,2022-04-11 01:15:20,34.37,73.4711,67.69,35,25,7.58
133,Madhugiri,IN,2022-04-11 01:15:21,13.6606,77.2092,72.09,73,91,4.12
134,Fort Nelson,CA,2022-04-11 01:15:21,58.8053,-122.7002,27.99,50,40,12.66
135,Lebu,CL,2022-04-11 01:15:22,-37.6167,-73.65,49.39,83,3,8.01
136,Bredasdorp,ZA,2022-04-11 01:10:38,-34.5322,20.0403,61.38,95,35,4.09
137,Necochea,AR,2022-04-11 01:14:36,-38.5473,-58.7368,63.68,95,100,7.38
138,Kruisfontein,ZA,2022-04-11 01:11:48,-34.0033,24.7314,62.89,92,82,3.74
139,Ondjiva,AO,2022-04-11 01:15:22,-17.0667,15.7333,71.47,54,49,7.18
140,Lavrentiya,RU,2022-04-11 01:15:23,65.5833,-171.0,29.75,77,99,10.87
141,Dunedin,NZ,2022-04-11 01:15:41,-45.8742,170.5036,60.44,53,0,3.4
142,Zhigansk,RU,2022-04-11 01:16:24,66.7697,123.3711,7.93,90,45,9.4
143,Sur,OM,2022-04-11 01:16:24,22.5667,59.5289,86.36,32,2,7.74
144,Dospat,BG,2022-04-11 01:16:25,41.65,24.1667,29.23,92,96,7.45
145,Laguna,US,2022-04-11 01:16:25,38.421,-121.4238,74.98,30,0,11.5
146,Lewisporte,CA,2022-04-11 01:16:26,49.2499,-55.0482,29.91,98,100,9.19
147,Bathsheba,BB,2022-04-11 01:11:27,13.2167,-59.5167,79.41,73,20,19.57
148,Pisco,PE,2022-04-11 01:16:27,-13.7,-76.2167,68.05,73,0,16.11
149,Cabangahan,PH,2022-04-11 01:16:27,9.0781,122.9469,79.77,80,100,15.52
150,Juneau,US,2022-04-11 01:12:23,58.3019,-134.4197,42.98,51,20,12.66
151,Maarianhamina,AX,2022-04-11 01:16:28,60.0973,19.9348,40.86,48,0,11.5
152,Aransas Pass,US,2022-04-11 01:16:28,27.9095,-97.15,74.01,89,0,20.71
153,Palmas,BR,2022-04-11 01:15:33,-10.2128,-48.3603,75.87,83,3,2.86
