,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
86,Guerrero Negro,MX,2022-04-11 03:24:25,27.9769,-114.0611,60.78,80,0,11.9,clear sky,0,0
87,Arlit,NE,2022-04-11 03:25:38,18.7369,7.3853,84.04,9,0,7.47,clear sky,0,0
88,Bengkulu,ID,2022-04-11 03:22:18,-3.8004,102.2655,83.48,67,81,2.73,broken clouds,0,0
89,Norman Wells,CA,2022-04-11 03:25:38,65.282,-126.8329,15.84,57,20,10.36,few clouds,0,0
90,Micheweni,TZ,2022-04-11 03:25:39,-4.9667,39.8333,81.36,77,97,10.4,light rain,0,0
91,Tahta,EG,2022-04-11 03:25:39,26.7693,31.5021,73.18,24,3,7.05,clear sky,0,0
92,Gat,IL,2022-04-11 03:25:40,31.61,34.7642,64.4,80,16,4.29,few clouds,0,0
93,Thompson,CA,2022-04-11 03:22:33,55.7435,-97.8558,30.36,74,75,3.44,broken clouds,0,0
94,Mahebourg,MU,2022-04-11 03:25:41,-20.4081,57.7,77.29,73,40,10.36,scattered clouds,0,0
95,Defiance,US,2022-04-11 03:25:41,41.3334,-84.45,53.58,43,0,9.22,clear sky,0,0
96,Los Barrios,ES,2022-04-11 03:21:30,36.1848,-5.4921,60.64,88,100,16.11,overcast clouds,0,0
97,Mahenge,TZ,2022-04-11 03:25:42,-8.6833,36.7167,61.0,95,43,1.81,scattered clouds,0,0
98,Santa Cruz,BO,2022-04-11 03:25:42,-17.8,-63.1667,78.26,83,20,13.8,few clouds,0,0
99,Kapit,MY,2022-04-11 03:25:43,2.0167,112.9333,88.34,60,89,0.65,overcast clouds,0,0
100,Lebu,CL,2022-04-11 03:25:43,-37.6167,-73.65,48.36,84,4,6.33,clear sky,0,0
101,Sredniy Ikorets,RU,2022-04-11 03:25:44,51.0675,39.7584,52.23,71,98,10.6,overcast clouds,0,0
102,Alice Springs,AU,2022-04-11 03:25:19,-23.7,133.8833,92.75,21,100,12.66,overcast clouds,0,0
103,Gibara,CU,2022-04-11 03:25:44,21.1097,-76.1317,76.32,67,99,14.99,overcast clouds,0,0
104,Brorup,DK,2022-04-11 03:25:45,55.4819,9.0176,37.42,86,74,7.72,broken clouds,0,0
105,Esperance,AU,2022-04-11 03:25:45,-33.8667,121.9,69.64,80,98,12.53,overcast clouds,0,0
106,Saint George,US,2022-04-11 03:20:48,37.1041,-113.5841,63.95,11,0,5.75,clear sky,0,0
107,Mana,GF,2022-04-11 03:25:46,5.6592,-53.7767,77.54,88,100,9.46,overcast clouds,0,0
108,Villany,HU,2022-04-11 03:25:46,45.8689,18.4539,37.22,79,0,6.87,clear sky,0,0
109,Kaura Namoda,NG,2022-04-11 03:25:46,12.5898,6.5779,83.59,38,56,7.85,broken clouds,0,0
110,Tuktoyaktuk,CA,2022-04-11 03:25:47,69.4541,-133.0374,1.4,71,20,10.36,few clouds,0,0
111,Ray,IN,2022-04-11 03:25:47,23.6833,85.05,86.77,11,1,4.5,clear sky,0,0
112,Imeni Poliny Osipenko,RU,2022-04-11 03:25:48,52.4201,136.4853,30.83,97,100,10.6,light snow,0,0
113,Albany,US,2022-04-11 03:25:48,42.6001,-73.9662,38.41,69,17,11.99,few clouds,0,0
114,Bonthe,SL,2022-04-11 03:25:49,7.5264,-12.505,78.03,92,6,4.92,clear sky,0,0
115,Provideniya,RU,2022-04-11 03:25:49,64.3833,-173.3,30.36,74,0,7.0,clear sky,0,0
116,Luderitz,NA,2022-04-11 03:23:19,-26.6481,15.1594,73.26,47,1,12.44,clear sky,0,0
117,Komsomolskiy,UZ,2022-04-11 03:25:50,40.4272,71.7189,70.52,49,86,4.61,overcast clouds,0,0
118,Kieta,PG,2022-04-11 03:25:51,-6.2167,155.6333,83.88,73,100,4.0,light rain,0,0
119,Bethel,US,2022-04-11 03:25:51,41.3712,-73.414,42.89,64,0,8.05,clear sky,0,0
120,Clyde River,CA,2022-04-11 03:25:51,70.4692,-68.5914,-0.17,92,100,2.3,overcast clouds,0,0
121,Manggar,ID,2022-04-11 03:25:52,-2.8833,108.2667,84.58,70,80,4.18,broken clouds,0,0
122,Bandundu,CD,2022-04-11 03:25:52,-3.3167,17.3667,72.3,97,100,2.62,light rain,0,0
123,Intipuca,SV,2022-04-11 03:25:53,13.1969,-88.0544,84.15,62,94,2.51,overcast clouds,0,0
